class_level,subject,book_name,language,document_id,status,chunks_count
"Class 11-12","History, Art & Culture","The_Story_of_Civilization_Part-_I_by_Arjun_Dev.pdf","English","NCERT-082","INGESTED",4
"Class 8","history","ncert-class-8-social-science-book-pdf-history-our-pasts-III.pdf","English","NCERT-083","INGESTED",18
"Class 9","History, Art & Culture","ncert-class-9-social-science-book-pdf-history.pdf","English","NCERT-084","INGESTED",437
"Class 6","Polity & Governance","keps101.pdf","English","NCERT-085","INGESTED",32
"Class 6","Polity & Governance","keps104.pdf","English","NCERT-086","INGESTED",33
"Class 6","Polity & Governance","keps102.pdf","English","NCERT-087","INGESTED",36
"Class 6","Polity & Governance","keps103.pdf","English","NCERT-088","INGESTED",45
"Class 6","Polity & Governance","keps204.pdf","English","NCERT-089","INGESTED",45
"Class 6","Polity & Governance","keps105.pdf","English","NCERT-090","INGESTED",27
"Class 6","Polity & Governance","keps106.pdf","English","NCERT-091","INGESTED",39
"Class 6","Polity & Governance","keps108.pdf","English","NCERT-092","INGESTED",39
"Class 11-12","Polity & Governance","leps106.pdf","English","NCERT-093","INGESTED",47
"Class 6","Polity & Governance","keps201.pdf","English","NCERT-094","INGESTED",51
"Class 6","Polity & Governance","keps202.pdf","English","NCERT-095","INGESTED",48
"Class 6","Polity & Governance","keps203.pdf","English","NCERT-096","INGESTED",55
"Class 6","Polity & Governance","keps205.pdf","English","NCERT-097","INGESTED",44
"Class 6","Polity & Governance","keps206.pdf","English","NCERT-098","INGESTED",48
"Class 6","Polity & Governance","keps207.pdf","English","NCERT-099","INGESTED",47
"Class 6","Polity & Governance","keps208.pdf","English","NCERT-100","INGESTED",38
"Class 6","Polity & Governance","keps209.pdf","English","NCERT-101","INGESTED",49
"Class 6","Polity & Governance","keps210.pdf","English","NCERT-102","INGESTED",48
"Class 6","Polity & Governance","keps2ps.pdf","English","NCERT-103","INGESTED",22
"Class 11-12","Polity & Governance","leps101.pdf","English","NCERT-104","INGESTED",41
"Class 11-12","Polity & Governance","leps102.pdf","English","NCERT-105","INGESTED",36
"Class 11-12","Polity & Governance","leps103.pdf","English","NCERT-106","INGESTED",44
"Class 11-12","Polity & Governance","leps104.pdf","English","NCERT-107","INGESTED",45
"Class 11-12","Polity & Governance","leps107.pdf","English","NCERT-108","INGESTED",31
"Class 11-12","Polity & Governance","leps1ps.pdf","English","NCERT-109","INGESTED",17
